"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://eghiseul.ro/","9","Servicii Disponibile","20","Cum obții documente online în 3 pași","36","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","10","Ce sunt termenele procedurale","29","Sistemul „zile libere”","22","Indexable",""
"https://eghiseul.ro/calculator/dividende/","11","Cum se calculează impozitul pe dividende","40","Plafoanele CASS 2026","20","Indexable",""
"https://eghiseul.ro/calculator/salariu/","9","Cum se calculează salariul net din brut în 2026","47","Salariul minim și deducerea personală","37","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","10","Ce este Cazierul Fiscal și de unde se obține","44","Când Ai Nevoie de Cazier Fiscal?","32","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","10","Cum se calculează pensia în sistemul cu puncte","46","Punctele de contributivitate","28","Indexable",""
"https://eghiseul.ro/servicii/","6","Carte Funciară & Cadastru","25","Caziere & Integritate","21","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","11","Extras Multilingv de pe Certificatul de Căsătorie — Online","58","Când Ai Nevoie de Extrasul Multilingv?","38","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","15","Ce este Extrasul de Carte Funciară și de unde se obține","55","Vrei să construiești pe terenul tău?","36","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","9","Cum se calculează rata la un credit ipotecar","44","Exemplu numeric pas cu pas","26","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","8","Cum afli numărul cadastral după adresă","38","Când ai nevoie de identificarea imobilului","42","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","8","Ce este certificatul de sarcini și la ce folosește","50","Cum identifici imobilul pentru certificatul de sarcini","54","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","12","Ce este Certificatul Constatator ONRC și de unde se obține","58","Ce conține certificatul constatator","35","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","18","1. Definiții","12","2. Serviciile noastre","21","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","8","Ce este copia cărții funciare in extenso și la ce folosește","59","Cum identifici imobilul pentru copia in extenso","47","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","11","Certificat de Căsătorie — Duplicat sau Copie Legalizată Online","62","Când Ai Nevoie de Certificat de Căsătorie?","42","Indexable",""
