pages,question
48,"Cât durează eliberarea cazierului judiciar?"
48,"Cât este valabil cazierul judiciar?"
48,"Documentul este oficial și acceptat?"
48,"Plata și datele mele sunt în siguranță?"
42,"Cât durează obținerea extrasului de carte funciară online?"
42,"Ce conține extrasul de carte funciară?"
42,"Care e diferența dintre extrasul de informare și cel de autentificare?"
42,"Documentul este oficial?"
20,"Cât durează eliberarea?"
14,"Am nevoie de cont ANCPI?"
9,"Cum primesc documentul?"
7,"Nu știu numărul cadastral. Ce fac?"
4,"Cu ce diferă de extrasul de carte funciară?"
3,"Cum aflu numărul cadastral după adresă?"
3,"Ce acte îmi trebuie ca să comand?"
3,"Cu ce diferă de extrasul de plan cadastral pe ortofotoplan?"
2,"Ce acte îmi trebuie pentru un duplicat de certificat de naștere?"
2,"Cât durează cadastrul și intabularea?"
2,"Ce este gradul de îndatorare?"
2,"Cât e valabil cazierul judiciar?"
2,"Cât este valabil cazierul fiscal?"
2,"Ce este certificatul constatator?"
2,"Ce este certificatul de integritate comportamentală?"
2,"Care este diferența față de cazierul judiciar?"
2,"Cât costă serviciul?"
2,"Nu știu numărul de carte funciară. Ce fac?"
2,"De ce aveți nevoie de datele mele personale?"
2,"Cum verific cazierul fiscal?"
2,"Câte zile durează procesarea?"
2,"Cu ce diferă de planul de amplasament și delimitare?"
2,"Care e diferența dintre duplicat și copie legalizată?"
2,"Trebuie să fac programare pentru eliberarea duplicatului?"
2,"Cât este valabil certificatul de celibat?"
2,"Cât este valabil extrasul de carte funciară?"
2,"Înlocuiește traducerea și apostila?"
2,"Cât costă extrasul multilingv?"
2,"Când am nevoie de extrasul multilingv?"
2,"De unde se eliberează și cine depune cererea?"
2,"Cât durează și cum primesc documentul?"
2,"Ce primesc concret?"
2,"Cât durează?"
1,"Cu cât timp înainte trebuie depusă declarația de căsătorie?"
1,"Certificatul medical prenupțial este obligatoriu?"
1,"Ce acte trebuie să depună un cetățean străin care se căsătorește în România?"
