"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://eghiseul.ro/","1","Obține cazier judiciar, cazier fiscal, certificat constatator, extras de carte funciară și alte documente online — rapid, legal, fără cozi. Livrare pe email sau curier în 24-48 ore.","181","1043","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","1","Calculează termenele procedurale (judiciare) conform Codului de Procedură Civilă și Penală: zile, săptămâni, luni sau ani, cu sărbătorile legale 2026 luate în calcul.","166","992","Indexable",""
"https://eghiseul.ro/calculator/dividende/","1","Calculează impozitul pe dividende în 2026: 16% impozit (Legea 141/2025) plus CASS pe plafoane, și află suma netă pe care o încasezi din dividende.","146","908","Indexable",""
"https://eghiseul.ro/calculator/salariu/","1","Calculator salariu 2026: convertești brut în net și invers (CAS, CASS, impozit, deducere personală) plus costul angajatorului.","126","757","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","1","Cazier fiscal online de la ANAF pentru persoană fizică, fără cont SPV și fără drum la ghișeu. Atestă lipsa datoriilor fiscale, valabil 30 de zile. 198 RON.","155","911","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","1","Estimează pensia pentru limită de vârstă în 2026 pe baza stagiului și a salariului: puncte de contributivitate + stabilitate × valoarea punctului de referință (81 lei).","168","983","Indexable",""
"https://eghiseul.ro/servicii/","1","Catalogul complet al serviciilor eGhișeul.ro: cazier judiciar, cazier fiscal, certificat constatator, extras carte funciară, acte cadastrale, rovinietă și altele. 100% online.","175","1000","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","1","Extrasul multilingv de pe certificatul de căsătorie (formular standard UE) e recunoscut în Uniunea Europeană fără traducere și fără apostilă. 798 RON totul inclus, fără deplasare.","179","1088","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","1","Extras de carte funciară ANCPI eliberat automat, pe email, în câteva minute — 24/7, inclusiv noaptea și în weekend. Fără cont ANCPI, fără taxă de urgență. 4.9★ din 450+ recenzii.","178","1098","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","1","Calculator credit ipotecar 2026: afli rata lunară, totalul de plată și dobânda totală pentru un credit cu rate egale, orientativ, fără comisioane.","146","857","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","1","Ne dai adresa, îți aflăm numărul cadastral și de carte funciară din ANCPI și primești extrasul CF pe email. 198 RON, taxe incluse, fără cont ANCPI.","147","891","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","1","Certificat de sarcini OCPI/ANCPI — verifici ipoteci, privilegii, servituți, interdicții și litigii notate asupra unui imobil, după numărul cadastral sau de carte funciară. Taxe incluse, 100% online, livrare pe email.","216","1236","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","1","Obținem certificatul constatator de la ONRC în câteva minute, 24/7 — inclusiv noaptea și în weekend. Doar cu CUI-ul firmei: pe firmă, PF sau cu istoric. 89 RON, taxe ONRC incluse.","179","1093","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","1","Termenii și condițiile de utilizare a platformei eGhișeul.ro (eDigitalizare SRL): servicii, comandă, plată, termene, anulare și rambursare, semnătură electronică, GDPR și răspundere.","182","1091","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","1","Copie carte funciară in extenso — reproducerea integrală a CF (părțile A, B și C) din arhiva OCPI. Util pentru litigii, succesiuni și verificarea istoricului proprietății. Taxe OCPI incluse, online, livrare pe email.","216","1234","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","1","Duplicat certificat de căsătorie online de la Starea Civilă, 998 RON, fără deplasare. Pentru act pierdut, din altă localitate sau diaspora. Email + curier.","155","907","Indexable",""
"https://eghiseul.ro/politica-de-anulare/","1","Poți anula comanda în primele 30 de minute de la plată, direct din pagina de status, cu rambursare de 70%. Excepții, pași și termene — totul explicat clar.","155","932","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","1","Calculează impozitul pe casă/clădiri în 2026 după suprafață, tip construcție, zonă și vechime, conform valorilor indexate din Codul Fiscal.","139","842","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","1","Calculează indemnizația de șomaj 2026: baza de 75% din ISR plus suplimentul pe stagiu, durata și reținerea CASS.","112","699","Indexable",""
"https://eghiseul.ro/gdpr/","1","Drepturile tale GDPR și modul în care eGhișeul.ro (eDigitalizare SRL) protejează datele personale.","98","593","Indexable",""
"https://eghiseul.ro/calculator/amenda-circulatie/","1","Calculează amenda de circulație pe clase, plata redusă în 15 zile și punctele de penalizare pentru viteză (valori 2026).","120","716","Indexable",""
"https://eghiseul.ro/politica-cookies/","1","Exact ce cookie-uri folosește eGhișeul.ro, ce urmărim și ce NU urmărim, cât timp și cum îți schimbi opțiunea oricând.","117","709","Indexable",""
"https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","1","Ghid complet apostilă Haga în 2026: ce acte se apostilează la prefectură, tribunal sau Camera Notarilor, cât durează, cât costă, când NU ai nevoie de apostilă și în ce ordine se face traducerea.","194","1174","Indexable",""
"https://eghiseul.ro/servicii/certificat-urbanism-informare/","1","Obținem certificatul de urbanism pentru informare de la orice primărie din România: regim juridic, POT/CUT, restricții de construire. Comanzi online, primești pe email.","168","1012","Indexable",""
"https://eghiseul.ro/calculator/tva/","1","Calculator TVA 2026: adaugă sau extrage TVA cu cota standard 21% și cota redusă 11%. Rapid, online, fără instalare.","115","723","Indexable",""
"https://eghiseul.ro/calculator/pensie-alimentara/","1","Calculează pensia alimentară pentru copii în 2026 conform Codului Civil: 1/4 din venitul net pentru un copil, 1/3 pentru doi, 1/2 pentru trei sau mai mulți.","156","932","Indexable",""
"https://eghiseul.ro/calculator/calculator-impozit-auto/","1","Calculează impozitul auto 2026 după capacitatea cilindrică și norma de poluare Euro. Estimare rapidă a taxei anuale pe mașină.","126","787","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/persoana-fizica/","1","Obține cazierul judiciar pentru persoană fizică 100% online, fără drum la ghișeu. 198 RON, livrare în 3-5 zile pe email. Document de la Poliția Română, valabil pentru angajare, emigrare, adopție și proceduri legale.","215","1287","Indexable",""
"https://eghiseul.ro/calculator/taxe-notariale/","1","Calculează taxele notariale 2026: onorariu notarial, intabulare, impozit la stat și extras de carte funciară, pentru vânzare, donație, succesiune sau partaj.","157","935","Indexable",""
"https://eghiseul.ro/schimbare-sediu-social-srl-ghid/","1","Ghid schimbare sediu social în 2026: actele necesare, pașii la Registrul Comerțului, diferența dintre mutarea în același județ și în alt județ, plus ce instituții trebuie anunțate după.","185","1079","Indexable",""
"https://eghiseul.ro/calculator/calculator-procente/","1","Calculator de procente online: cât e X% din Y, cât la sută reprezintă un număr din altul și variația procentuală. Gratuit.","122","719","Indexable",""
"https://eghiseul.ro/servicii/plan-amplasament-delimitare/","1","Obții planul de amplasament și delimitare (PAD) din arhiva OCPI după numărul cadastral sau de carte funciară: conturul parcelei, lungimile laturilor, suprafața măsurată și vecinătățile. Taxe OCPI incluse, totul online, livrare pe email, fără cont ANCPI.","253","1521","Indexable",""
"https://eghiseul.ro/curs-valutar/","1","Curs valutar BNR oficial azi: euro, dolar, liră și toate valutele, cu variație zilnică, convertor valutar și grafice de evoluție. Actualizat din sursa oficială BNR.","164","931","Indexable",""
"https://eghiseul.ro/calculator/cat-pot-construi/","1","Introdu suprafața terenului și POT-ul din certificatul de urbanism → afli câți metri pătrați poate ocupa construcția la sol și cât poți construi în total (CUT). Gratuit.","169","989","Indexable",""
"https://eghiseul.ro/calculator/","1","Peste 30 de calculatoare online gratuite: salariu, taxe, dividende, credite, notariale, juridice și de timp. Rapide, actualizate 2026, fără cont.","145","838","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/","1","Obține cazierul judiciar online de la Poliția Română, fără cozi. Persoane fizice și firme, livrare în 3-5 zile pe email sau curier. Comandă în 5 minute.","152","884","Indexable",""
"https://eghiseul.ro/calculator/jugar-stanjen-in-mp/","1","Convertor online: jugăr, stânjen, falce, prăjină și pogon în metri pătrați, ari și hectare. Valorile exacte ale unităților vechi de teren din Transilvania, Moldova și Muntenia.","176","1017","Indexable",""
"https://eghiseul.ro/servicii/rovinieta-online/","1","Cumpără rovinieta online rapid și sigur, de pe telefon sau PC. Plata rovinietei online cu activare imediată, fără drumuri la ghișeu. Vezi tarifele 2026 pe categorii și perioade.","177","1041","Indexable",""
"https://eghiseul.ro/calculator/concediu-medical/","1","Calculează indemnizația de concediu medical 2026: procentul pe tip de concediu, baza de calcul și prima zi neplătită.","117","714","Indexable",""
"https://eghiseul.ro/servicii/actualizare-adresa-cf/","1","Actualizăm adresa imobilului în cartea funciară prin cerere la OCPI: aliniem adresa din CF cu nomenclatorul stradal actual după renumerotări, redenumiri de străzi sau atribuirea unui număr poștal nou. Taxe OCPI incluse, 100% online, fără cont ANCPI. Primești extrasul de carte funciară cu adresa corectată, pe email.","316","1936","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-celibat/","1","Certificat de celibat online de la Starea Civilă, 698 RON cu taxele incluse, fără drum la ghișeu. Pentru căsătorie în străinătate, cetățenie sau altă localitate. Email + curier.","177","1029","Indexable",""
"https://eghiseul.ro/tools/verificare-rovinieta-online/","1","Verifică gratuit valabilitatea rovinietei online, după numărul de înmatriculare, fără serie de șasiu. Afli instant dacă mașina are rovinietă validă și până când expiră.","168","988","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-nastere/","1","Duplicat certificat de naștere online de la Starea Civilă, 998 RON, fără deplasare. Pentru act pierdut, din altă localitate sau diaspora. Email + curier.","153","896","Indexable",""
"https://eghiseul.ro/politica-de-confidentialitate/","1","Cum colectează, folosește și protejează eGhișeul.ro (eDigitalizare SRL) datele tale personale: date colectate, scop, temei legal, destinatari și persoane împuternicite, durata stocării și drepturile tale GDPR.","209","1240","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobile-proprietar/","1","Identificăm imobilele înscrise pe numele unei persoane (fizice sau juridice) în evidențele de cadastru și carte funciară, după nume și localitate. 198 RON, taxe OCPI incluse, livrare pe email.","192","1138","Indexable",""
"https://eghiseul.ro/contact/","1","Contactează eGhișeul.ro: telefon +40 757 708 181, email contact@eghiseul.ro. Asistență pentru cazier, carte funciară, certificat constatator și alte documente online.","166","1018","Indexable",""
"https://eghiseul.ro/servicii/cazier-auto-online/","1","Obții cazierul auto (fișa de evidență a conducătorului auto) online: sancțiuni rutiere, puncte de penalizare, suspendări. Necesar pentru atestat profesional și angajare ca șofer.","178","1068","Indexable",""
"https://eghiseul.ro/calculator/varsta-pensionare/","1","Află vârsta standard de pensionare și data ieșirii la pensie în funcție de sex și data nașterii, conform Anexei 5 din Legea 360/2023.","133","796","Indexable",""
